ft_facility_code,UTM_lat,UTM_long,latitude,longitude
1004-0004,0649720,8489230,-13.61550350626357,34.38400150483935
1004-0005,0642451,8483903,-13.66349986563918,34.31708615322146
1004-0006,0641790,8496787,-13.547414183482426,34.310337345401145
1004-0007,0629432,8498048,-13.53605222990997,34.19609388327095
1004-0008,0636429,8507739,-13.448735287916334,34.26028521259794
1004-0009,0657629,8475889,-13.735706532584395,34.45783443097663
1004-0010,0657649,8476262,-13.732345802401184,34.45799859843487
1004-0011,0672409,8480624,-13.693044615539172,34.59420389356939
1004-0012,0672409,8480624,-13.693044615539172,34.59420389356939
1004-0013,0673303,8475882,-13.735770126276925,34.602757756470936
1004-0014,0671614,8480393,-13.695125900918958,34.58686876566622
1004-0015,0668446,8468957,-13.79816410214544,34.55826358483102
1004-0016,0647651,8465371,-13.830473217881124,34.36612239514275
1004-0017,0660876,8460223,-13.87685676721628,34.48875217581649
1004-0018,0663611,8453196,-13.94016953672772,34.51446730217132
1004-0019,0663114,8442131,-14.03986379829843,34.51051820013511
1004-0020,0666705,8441884,-14.04208935286279,34.54377909536951
1004-0021,0646286,8510729,-13.42179515075793,34.35117280947602
1005-0001,0620300,8407117,-14.355330991697425,34.11564439404544
1005-0002,0616021,8401675,-14.404361610566998,34.076201203814094
1005-0003,0608888,8403071,-14.391784032847857,34.00998709386861
1005-0004,0601262,8402614,-14.395901384193603,33.93927661041928
1005-0005,0597670,8410879,-14.321436271215356,33.9056618744835
1005-0006,0612164,8427061,-14.17564069675165,34.03937777930971
1005-0007,0604390,8426052,-14.184731489549177,33.96738540820898
1005-0008,0602766,8417347,-14.263161419425025,33.952665600622325
1005-0009,0577355,8404406,-14.379755912514971,33.7174850458169
1005-0010,0615552,8408837,-14.339834255239532,34.07154408819085
1005-0011,0663431,8426565,-14.1801106064148,34.51437825425271
1005-0012,0667115,8429565,-14.153081369739002,34.54832290285474
1005-0013,0662906,8420406,-14.235601743673927,34.509882414013695
1005-0014,0675670,8419200,-14.24646797764361,34.62822972848816
1005-0015,0664183,8405215,-14.372468417539972,34.522636087715405
1005-0016,0672572,8406014,-14.365269988841426,34.60036358857769
1005-0017,0653609,8412203,-14.309508309805183,34.424197457538774
1005-0018,0622109,8436162,-14.093642600663477,34.13111671310223
1005-0019,0625377,8443005,-14.031988318569919,34.161073452037044
1005-0020,,,
1005-0021,0634206,8441192,-14.048323323212651,34.242910616261405
1005-0022,0629328,5452258,-40.94831572641299,34.53629702275433
